"name","official_name","country_origin","country_operator","operator","user","purpose","purpose_detailed","orbit_class","orbit_type","longitude_geo_degrees","perigee_km","apogee_km","eccentricity","inclination_degrees","period_minutes","launch_mass_kg","dry_mass_kg","power_watts","launch_date","expected_lifetime_yrs","contractor","contractor_country","launch_site","launch_vehicle","cospar_number","norad_number","comments"
"1HOPSAT-TD (1st-generation High Optical Performance Satellite)","1HOPSAT","NR (12/20)","USA","Hera Systems","Commercial","Earth Observation","Technology Development","LEO","Non-Polar Inclined",0,566,576,0.00072,36.9,96.08,22,NA,NA,"12/11/19",0.5,"Hera Systems","USA","Satish Dhawan Space Centre","PSLV","2019-089H",44859,"Pathfinder for planned earth observation constellation."
"3Cat-1","3Cat-1","NR","Spain","Universitat Politècnica de Catalunya","Civil","Technology Development","","LEO","",0,476,500,0.00175,97.4,95,4,NA,NA,"11/29/18",NA,"Universitat Politècnica de Catalunya","Spain","Satish Dhawan Space Centre","PSLV","2018-096K",43728,"Student built."
"Aalto-1 ","Aalto-1","Finland","Finland","Aalto University","Civil","Technology Development","","LEO","",0,497,517,0.00145,97.45,94.7,5,NA,4.5,"6/23/17",2,"Aalto University","Finland","Satish Dhawan Space Centre","PSLV","2017-036L",42775,"Technology development and education."
"AAUSat-4","AAUSat-4","Denmark","Denmark","University of Aalborg","Civil","Earth Observation","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,442,687,0.0177,98.2,95.9,1,NA,NA,"4/25/16",NA,"University of Aalborg","Denmark","Guiana Space Center","Soyuz 2.1a","2016-025E",41460,"Carries AIS system."
"ABS-2 (Koreasat-8, ST-3)","ABS-2","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",75,NA,NA,0.000178,0.08,1436.03,NA,NA,NA,"2/6/14",15,"Space Systems/Loral","USA","Guiana Space Center","Ariane 5 ECA","2014-006A",39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."
"ABS-2A","ABS-2A","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",-75,NA,NA,0,0,1436.1,NA,NA,NA,"6/15/16",15,"Boeing Satellite Systems","USA","Cape Canaveral","Falcon 9","2016-038A",41588,""
"ABS-3A ","ABS-3A","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",-3,NA,NA,0.000178,0.1,1436,NA,NA,NA,"3/2/15",15,"Boeing Satellite Systems","USA","Cape Canaveral","Falcon 9","2015-010A",40424,"Coverage of Americas Europe and Africa."
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)","ABS-4","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",75,NA,NA,0.000154,0.01,1436.1,NA,NA,NA,"3/13/04",12,"Space Systems/Loral","USA","Cape Canaveral","Atlas 3","2004-007A",28184,"Purchased by ABS in 2013."
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)","ABS-6","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",159,NA,NA,0.000202,0.01,1436.08,NA,NA,NA,"9/26/99",15,"Lockheed Martin","USA","Baikonur Cosmodrome","Proton","1999-053A",25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
"ABS-7 (Koreasat 3, Mugungwha 3)","ABS-7","South Korea","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",116.18,NA,NA,0.00013,0.01,1436.06,NA,NA,NA,"9/4/99",15,"Lockheed Martin Astro Space","USA","Guiana Space Center","Ariane","1999-046A",25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)","USA 311","NR (12/20)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","Electronic Intelligence","GEO","",NA,NA,NA,0.00119,0,1437.6,NA,NA,NA,"12/11/20",NA,"National Reconnaissance Laboratory (?)","USA","Cape Canaveral","Delta 4 Heavy","2020-095A",47237,"ELINT."
"Advanced Orion 4 (Mentor, NROL 6, USA 139)","USA 139","USA","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","Electronic Intelligence","GEO","",-26,NA,NA,0.00537,7.72,1436.14,NA,NA,NA,"5/9/98",NA,"TRW Space and Electronics","USA","Cape Canaveral","Titan IVA","1998-029A",25336,"ELINT."
